Problem Category,Problem,User Context,Source
Performance & Reliability,"Bugs, functionality issues, and critical failures, often occurring after updates.",General,"(Edwina & Mauritsius, 2024), (Alhejji et al., 2022)"
Performance & Reliability,Transaction failures.,General,"(Edwina & Mauritsius, 2024)"
Performance & Reliability,Complaints about the application being slow to respond and experiencing login issues.,General,"(Andrian et al., 2022)"
Performance & Reliability,The quality and functionality of the application on the Android platform are significantly worse compared to the iOS version.,General,"(Palos-Sanchez et al., 2025)"
Performance & Reliability,Slow fund transfer times that are often inconsistent with the estimated time.,General,"(Palos-Sanchez et al., 2025)"
Performance & Reliability,The verification process during registration frequently fails.,General,"(Karmagatri et al, 2023)"
Performance & Reliability,Unstable and unreliable infrastructure causes users to experience difficulties in accessing banking services.,General,"(Karmagatri et al, 2023)"
Performance & Reliability,Poor system performance makes banking activities impractical and prone to errors or system failures.,General,"(Karmagatri et al, 2023)"
Trust & Security,Excessive and irrelevant permission requests.,General,"(Haggag et al., 2025)"
Trust & Security,Non-transparent privacy policy and permission explanations.,General,"(Haggag et al., 2025)"
Trust & Security,Application is incompatible with VPNs.,General,"(Haggag et al., 2025)"
Trust & Security,Sensitive information is exposed during app switching.,General,"(Haggag et al., 2025)"
Trust & Security,Insecure password policies.,General,"(Haggag et al., 2025)"
Trust & Security,Lack of real-time fraud alert notifications.,General,"(Haggag et al., 2025)"
Trust & Security,Traditional authentication methods such as passwords and email verification are considered problematic.,General,"(Banga and Pillai, 2021)"
Trust & Security,"The lack of ""security tips"" within the mobile banking interface leads to a perception of it being less secure.",Elderly,"(Maguire, 2024)"
Usability,"Digital banking applications are considered technologically complex, with difficult interfaces, confusing navigation, long transaction flows, and overwhelming options.","Elderly, General, Screen Reader Users, Low Literacy Users","(Isa et al., 2022), (Jena, 2023), (Naeem et al., 2022), (Wahab et al., 2021), (Ubam et al., 2021)"
Usability,Anxiety and fear of making mistakes due to insufficient error recovery and a lack of prevention mechanisms.,"Elderly, General","(Jena, 2023), (Jin and Fan, 2022), (Han and Ko, 2025)"
Usability,The process for starting video customer service is fragmented and inefficient.,General,"(Hsiao & Tang, 2024)"
Usability,Difficult interaction on mobile view due to small touch targets and non-responsive content.,"General, Elderly","(Nour, 2022)"
Usability,"Absence of essential usability features, or features are hard to find.",General,"(Nour, 2022), (Hentati and Jallouli, 2025), (Jin and Fan, 2022), (Nadela and Yulianti, 2022)"
Usability,All-or-nothing' permission control.,General,"(Haggag et al., 2025)"
Usability,"Cognitive barriers such as diminished memory, leading to high memory load.",Elderly,"(Jin and Fan, 2022)"
Usability,Inconsistent design and terminology across the application.,"General, Elderly","(Zhu et al., 2022), (Isa et al., 2022)"
Usability,Login and authentication system failures.,General,"(Edwina & Mauritsius, 2024)"
Usability,Disruption and difficulty keeping up due to frequent application updates.,"General, Elderly","(Edwina & Mauritsius, 2024), (Anwar et al., 2024), (Orehovački et al., 2022)"
Usability,Feeling unable to use the application independently or find solutions to problems.,Elderly,"(Jena, 2023)"
Usability,Existing applications have too many steps to perform a simple transaction.,General,"(Nadela and Yulianti, 2022)"
Usability,Inadequate feedback and navigation guidance in user interfaces can lead to user anxiety.,General,"(Huang et al., 2024)"
Usability,The customer service function in the application is inaccurate and inefficient.,General,"(Zhu et al., 2022)"
Usability,The application lacks features related to the personalization of services.,General,"(Orehovački et al., 2022)"
Usability,"The registration and activation process is suboptimal, requiring offline visits and external browsers.",General,"(Pratama and Novani, 2021)"
Usability,"Users experience significant difficulties in logging in, especially after a long time of inactivity.",General,"(Darwaish and Qadir, 2022)"
Usability,The process of unlinking a device from a bank account is considered complicated by users.,General,"(Andrian et al., 2022)"
Usability,"Users experience technical issues when logging in or transacting, and face restrictive policies.",General,"(Palos-Sanchez et al., 2025)"
Usability,The absence of important support features like a chat function and difficulty finding contact information.,General,"(Palos-Sanchez et al., 2025)"
Usability,"The account setup process is slow, frequently crashes, and gets stuck during identity verification.",General,"(Palos-Sanchez et al., 2025)"
Usability,The initial account verification process is slow.,General,"(Palos-Sanchez et al., 2025)"
Usability,The registration process is considered impractical and complicated.,General,"(Karmagatri et al, 2023)"
Usability,Users often experience difficulties during the account login process.,General,"(Karmagatri et al, 2023)"
Usability,"Application updates are a source of user complaints, particularly because they often require users to log in again.",General,"(Karmagatri et al, 2023)"
Usability,Users have difficulty understanding the tasks and actions required to complete a desired activity.,General,"(Wahab et al., 2021)"
Usability,The task of transferring funds between accounts is significantly more difficult for specific user groups.,"Low Literacy Users, Elderly","(Mohammed et al., 2023), (Ubam et al., 2021)"
Usability,"Low-literacy users have difficulties understanding fundamental interface elements like hierarchical structures, soft keys, and scroll bars.",Low Literacy Users,"(Mohammed et al., 2023)"
Usability,The application lacks a live chat feature for direct communication with customer service.,General,"(Elysa et al., 2023)"
Usability,The application does not provide functionality for users to download their transaction history.,General,"(Elysa et al., 2023)"
Visual Design & Content,Inadequate or unclear information presentation.,"Elderly, General","(Maguire, 2024), (Isa et al., 2022)"
Visual Design & Content,Privacy policy is difficult to read and understand.,General,"(Haggag et al., 2025)"
Visual Design & Content,Ambiguous affordance of interface elements.,Elderly,"(Jin and Fan, 2022)"
Visual Design & Content,The difference between mobile and desktop devices has a major impact on application development and can hinder user experience.,General,"(Banga and Pillai, 2021)"
Visual Design & Content,Users tend to ignore long descriptive texts in step indicators.,General,"(Huang et al., 2024)"
Visual Design & Content,The display of ad banners at the bottom of the application is perceived as spam and disrupts the user experience.,General,"(Palos-Sanchez et al., 2025)"
Visual Design & Content,Information displayed in the mobile banking app is considered insufficient and not detailed enough compared to the online banking (desktop) version.,Elderly,"(Maguire, 2024)"
Visual Design & Content,The small screen size of mobile phones hinders clear information visibility for elderly users.,Elderly,"(Maguire, 2024)"
Visual Design & Content,The amount of information displayed in online banking (desktop) is considered overwhelming (information overload) by some elderly users.,Elderly,"(Maguire, 2024)"
Visual Design & Content,Text-heavy user interfaces (UIs) are perceived as daunting and are often avoided by low-literacy users.,Low Literacy Users,"(Mohammed et al., 2023)"
Visual Design & Content,"The application is considered uninspired, monotonous, and conventional.",General,"(Elysa et al., 2023)"
